# PLATE   MJD     FIBERID   Z   
7607   56902     991     0.039931815
3588   55184     560     0.24876563
5050   56215     136     0.3016586
3588   55184     572     0.0969076
7671   57360     11     0.017498833999999998
6747   56388     736     0.18702298
5050   56215     186     0.03826123
7671   57360     57     0.20565879999999997
5139   55866     206     0.12720475
5139   55866     212     0.065969914
6018   56067     497     0.036999237000000004
5966   56101     507     5.4882268e-05
7608   56945     102     0.082581066
5966   56101     538     0.13181145
3588   55184     685     0.19388588
6747   56388     871     0.13072778
3588   55184     714     0.15107393
5050   56215     325     0.03872432
3683   55245     793     0.13102812
6018   56067     658     0.036342658
3588   55184     798     0.24704179999999998
5139   55866     404     0.05451981
4417   55829     135     0.21194573
5966   56101     697     0.22208004
6018   56067     729     0.07423805
5139   55866     447     0.06304513
5050   56215     427     0.10260155
6018   56067     741     0.22186762
4364   55855     163     0.023713585
6018   56067     764     0.046482607999999995
6748   56371     79     0.2204252
6748   56371     86     0.27178457
6695   56628     144     0.06406822
3684   55246     14     0.16146435
5139   55866     593     0.059908427
6018   56067     886     0.1758517
5050   56215     591     0.22213311
6748   56371     229     0.2500325
5139   55866     652     0.06665666
5966   56101     915     0.239695
5139   55866     670     0.060138997
7671   57360     538     0.10173599
6018   56067     982     0.0063893683
6748   56371     271     0.17543319
3589   55186     96     0.11667280000000001
7671   57360     561     0.10076626400000001
6748   56371     296     0.008124959000000001
7608   56945     547     0.036517687
7608   56945     573     0.01773347
7671   57360     621     0.034853353999999996
6019   56074     46     0.18790244
5050   56215     770     0.013851665
6748   56371     406     0.08623625
7608   56945     662     0.24904029
5967   56063     98     0.04638953
7608   56945     679     0.20220706
5967   56063     127     0.16343364
3589   55186     274     0.013926474
6748   56371     492     0.0076884055
5967   56063     174     0.010823441999999999
5139   55866     948     0.008115248
5050   56215     932     0.16228215
6748   56371     576     0.24697378
3589   55186     374     0.01395472
3589   55186     406     0.08194739999999999
6019   56074     336     0.04042779
3684   55246     480     0.022004034
5050   56215     998     0.028243741
6748   56371     660     0.0012239489
6019   56074     382     0.061770957
7608   56945     886     0.2711114
3684   55246     530     0.20031308
3684   55246     533     0.19735445
3589   55186     470     0.17960076
6748   56371     714     0.30024382
3589   55186     490     0.044700842000000005
4417   55829     868     0.029157085
3589   55186     500     0.069484845
3684   55246     590     0.12064195
3589   55186     502     0.28898454
3684   55246     592     0.16125572
6019   56074     482     0.03226565
3589   55186     522     0.16551842
5051   56214     106     0.1521565
4417   55829     938     0.09214036
3589   55186     540     0.106716536
3589   55186     564     0.07620645
5967   56063     431     0.013810285
