# PLATE   MJD     FIBERID   Z   
5969   56069     268     0.04853667
3687   55269     680     0.24633744
4366   55536     914     0.069333375
3606   55182     690     0.14340147
6750   56367     903     0.14313692
5969   56069     559     0.19490014
5053   56213     274     0.13660757
6750   56367     946     0.06737693
3606   55182     747     0.10856293
3687   55269     852     0.22131725
5053   56213     372     0.097584225
5053   56213     388     0.10932247
4367   55566     104     0.07504332
5142   55825     632     0.09272896
3688   55273     78     0.07785703
5053   56213     590     0.08318099
7611   56946     556     0.09847497
5142   55825     837     0.048279565
6022   56076     128     0.03621836
7611   56946     560     0.10752391
4420   55883     572     0.09646446
3609   55201     229     0.25254047
4367   55566     524     0.10412168
6022   56076     342     0.03837042
6022   56076     362     0.031244692999999997
4420   55883     823     0.11065343
3609   55201     399     0.2776033
4367   55566     686     0.104866326
5054   56191     6     0.22021383
4367   55566     724     0.06736866
4367   55566     772     0.06183351
7611   56946     963     0.30000725
3609   55201     524     0.3120378
4367   55566     834     0.22838831
5054   56191     141     0.15460584
4421   55858     51     0.058781993
4367   55566     884     0.084481716
4367   55566     970     0.14458811
7612   56972     127     0.039366197
7612   56972     146     0.036784805
6022   56076     853     0.30530968
4421   55858     288     0.27060962
3689   55180     6     0.07291754
5054   56191     364     0.10551342
6699   56411     26     0.26225817
4368   55559     268     0.068608835
6023   56069     95     0.19982323
5054   56191     563     0.06172712
4368   55559     288     0.08307771
4368   55559     292     0.083295465
3615   55179     110     0.28587490000000004
5970   56072     98     0.16157548
3615   55179     319     0.29884186
3615   55179     350     0.106442995
3615   55179     408     0.04157575
4422   55533     140     0.08246645
4422   55533     202     0.07573838
5055   55889     70     0.17872384
4422   55533     238     0.07648503
4422   55533     248     0.106225744
3615   55179     511     0.040510292999999996
6023   56069     827     0.24743415
5055   55889     116     0.08547653
6699   56411     698     0.046176884
3615   55179     624     0.07293234
3615   55179     638     0.31890637
4422   55533     396     0.07362518
3615   55179     700     0.20503697
6024   56088     31     0.07227821
4422   55533     474     0.31292462
5055   55889     490     0.10854262
4422   55533     572     0.0841679
5055   55889     557     0.24126820000000002
5144   55829     920     0.17850433
7676   57329     836     0.053384453
6753   56399     584     0.29504433
3690   55182     450     0.279267
3615   55208     107     0.24512967
5055   55889     688     0.18136394
6024   56088     374     0.03693273
5055   55889     762     0.04949274
5055   55889     824     0.07657864
5055   55889     913     0.07931194
3615   55208     360     0.10642949
4369   55827     646     0.07316374
6753   56399     997     0.29840067
